goos: linux
goarch: amd64
pkg: gitlab.com/jhinrichsen/adventofcode2016
cpu: AMD Ryzen 7 7840HS w/ Radeon 780M Graphics     
BenchmarkDay09Part1-16    	   61286	     19416 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part1-16    	   61303	     19443 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part2-16    	   18390	     64902 ns/op	   98304 B/op	       1 allocs/op
BenchmarkDay09Part2-16    	   18210	     65796 ns/op	   98304 B/op	       1 allocs/op
BenchmarkDay09Part2-16    	   18642	     64403 ns/op	   98304 B/op	       1 allocs/op
BenchmarkDay09Part2-16    	   18732	     64500 ns/op	   98304 B/op	       1 allocs/op
BenchmarkDay09Part2-16    	   18574	     65540 ns/op	   98304 B/op	       1 allocs/op
BenchmarkDay09Part2-16    	   18625	     64631 ns/op	   98304 B/op	       1 allocs/op
BenchmarkDay09Part2-16    	   18632	     64367 ns/op	   98304 B/op	       1 allocs/op
BenchmarkDay09Part2-16    	   18084	     65715 ns/op	   98304 B/op	       1 allocs/op
BenchmarkDay09Part2-16    	   18290	     65186 ns/op	   98304 B/op	       1 allocs/op
BenchmarkDay09Part2-16    	   18248	     64889 ns/op	   98304 B/op	       1 allocs/op
BenchmarkDay10Part1-16    	   10000	    103655 ns/op	  143880 B/op	     895 allocs/op
BenchmarkDay10Part1-16    	   10000	    103835 ns/op	  143880 B/op	     895 allocs/op
BenchmarkDay10Part1-16    	   10000	    100914 ns/op	  143880 B/op	     895 allocs/op
BenchmarkDay10Part1-16    	   10000	    103231 ns/op	  143880 B/op	     895 allocs/op
BenchmarkDay10Part1-16    	   10000	    102720 ns/op	  143880 B/op	     895 allocs/op
BenchmarkDay10Part1-16    	   10000	    102705 ns/op	  143880 B/op	     895 allocs/op
BenchmarkDay10Part1-16    	   10000	    102679 ns/op	  143880 B/op	     895 allocs/op
BenchmarkDay10Part1-16    	   10000	    103574 ns/op	  143880 B/op	     895 allocs/op
BenchmarkDay10Part1-16    	   10000	    102456 ns/op	  143880 B/op	     895 allocs/op
BenchmarkDay10Part1-16    	   10000	    101775 ns/op	  143880 B/op	     895 allocs/op
BenchmarkDay10Part2-16    	    9658	    131623 ns/op	  143880 B/op	     895 allocs/op
BenchmarkDay10Part2-16    	    8546	    134657 ns/op	  143880 B/op	     895 allocs/op
BenchmarkDay10Part2-16    	    8828	    134471 ns/op	  143880 B/op	     895 allocs/op
BenchmarkDay10Part2-16    	    7996	    133030 ns/op	  143880 B/op	     895 allocs/op
BenchmarkDay10Part2-16    	    8091	    133737 ns/op	  143880 B/op	     895 allocs/op
BenchmarkDay10Part2-16    	    7776	    131497 ns/op	  143880 B/op	     895 allocs/op
BenchmarkDay10Part2-16    	   10000	    132246 ns/op	  143880 B/op	     895 allocs/op
BenchmarkDay10Part2-16    	    8505	    133533 ns/op	  143880 B/op	     895 allocs/op
BenchmarkDay10Part2-16    	    9124	    134591 ns/op	  143880 B/op	     895 allocs/op
BenchmarkDay10Part2-16    	    8932	    132405 ns/op	  143880 B/op	     895 allocs/op
BenchmarkDay12Part1-16    	      34	  33347368 ns/op	35621680 B/op	  954125 allocs/op
BenchmarkDay12Part1-16    	      36	  33859563 ns/op	35621672 B/op	  954125 allocs/op
BenchmarkDay12Part1-16    	      36	  33862743 ns/op	35621680 B/op	  954125 allocs/op
BenchmarkDay12Part1-16    	      37	  34324086 ns/op	35621696 B/op	  954125 allocs/op
BenchmarkDay12Part1-16    	      33	  33978290 ns/op	35621687 B/op	  954125 allocs/op
BenchmarkDay12Part1-16    	      33	  34184386 ns/op	35621693 B/op	  954125 allocs/op
BenchmarkDay12Part1-16    	      38	  33724550 ns/op	35621685 B/op	  954125 allocs/op
BenchmarkDay12Part1-16    	      37	  34819430 ns/op	35621683 B/op	  954125 allocs/op
BenchmarkDay12Part1-16    	      33	  35045439 ns/op	35621661 B/op	  954125 allocs/op
BenchmarkDay12Part1-16    	      32	  33887788 ns/op	35621695 B/op	  954125 allocs/op
BenchmarkDay12Part2-16    	       2	 996351127 ns/op	1033506768 B/op	27683155 allocs/op
BenchmarkDay12Part2-16    	       2	 987744490 ns/op	1033506192 B/op	27683149 allocs/op
BenchmarkDay12Part2-16    	       2	 981906182 ns/op	1033506248 B/op	27683150 allocs/op
BenchmarkDay12Part2-16    	       2	 984801556 ns/op	1033506912 B/op	27683157 allocs/op
BenchmarkDay12Part2-16    	       2	 991293983 ns/op	1033506864 B/op	27683156 allocs/op
BenchmarkDay12Part2-16    	       2	 989680228 ns/op	1033506288 B/op	27683150 allocs/op
BenchmarkDay12Part2-16    	       2	 975866044 ns/op	1033506528 B/op	27683153 allocs/op
BenchmarkDay12Part2-16    	       2	 994072380 ns/op	1033505856 B/op	27683146 allocs/op
BenchmarkDay12Part2-16    	       2	 971912172 ns/op	1033506768 B/op	27683155 allocs/op
BenchmarkDay12Part2-16    	       2	1001097156 ns/op	1033506000 B/op	27683147 allocs/op
BenchmarkDay13Part1-16    	   20276	     59583 ns/op	  143320 B/op	     507 allocs/op
BenchmarkDay13Part1-16    	   19968	     60212 ns/op	  143320 B/op	     507 allocs/op
BenchmarkDay13Part1-16    	   20342	     58753 ns/op	  143320 B/op	     507 allocs/op
BenchmarkDay13Part1-16    	   19899	     60009 ns/op	  143320 B/op	     507 allocs/op
BenchmarkDay13Part1-16    	   20354	     59271 ns/op	  143320 B/op	     507 allocs/op
BenchmarkDay13Part1-16    	   20386	     58081 ns/op	  143320 B/op	     507 allocs/op
BenchmarkDay13Part1-16    	   20629	     58018 ns/op	  143320 B/op	     507 allocs/op
BenchmarkDay13Part1-16    	   21217	     58073 ns/op	  143320 B/op	     507 allocs/op
BenchmarkDay13Part1-16    	   20584	     58530 ns/op	  143320 B/op	     507 allocs/op
BenchmarkDay13Part1-16    	   20570	     58470 ns/op	  143320 B/op	     507 allocs/op
BenchmarkDay14Part1-16    	      19	  60993671 ns/op	 3188592 B/op	   78429 allocs/op
BenchmarkDay14Part1-16    	      18	  61042327 ns/op	 3188592 B/op	   78429 allocs/op
BenchmarkDay14Part1-16    	      19	  61357235 ns/op	 3188592 B/op	   78429 allocs/op
BenchmarkDay14Part1-16    	      19	  60870137 ns/op	 3188593 B/op	   78429 allocs/op
BenchmarkDay14Part1-16    	      18	  61457552 ns/op	 3188593 B/op	   78429 allocs/op
BenchmarkDay14Part1-16    	      19	  61078945 ns/op	 3188592 B/op	   78429 allocs/op
BenchmarkDay14Part1-16    	      19	  61209311 ns/op	 3188597 B/op	   78429 allocs/op
BenchmarkDay14Part1-16    	      18	  61170494 ns/op	 3188592 B/op	   78429 allocs/op
BenchmarkDay14Part1-16    	      19	  60867899 ns/op	 3188597 B/op	   78429 allocs/op
BenchmarkDay14Part1-16    	      19	  60709846 ns/op	 3188592 B/op	   78429 allocs/op
BenchmarkDay19Part1-16    	866496394	         1.193 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay19Part1-16    	862245546	         1.374 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay19Part1-16    	860001501	         1.378 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay19Part1-16    	870057820	         1.379 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay19Part1-16    	874773363	         1.378 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay19Part1-16    	881156311	         1.371 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay19Part1-16    	1000000000	         1.358 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay19Part1-16    	996070476	         1.363 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay19Part1-16    	866646238	         1.378 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay19Part1-16    	870085635	         1.382 ns/op	       0 B/op	       0 allocs/op
